Time,AUV1_X,AUV1_Y,AUV2_X,AUV2_Y,AUV3_X,AUV3_Y,Error_AUV2,Error_AUV3,Distance_12,Distance_13,Distance_23,Energy_AUV2,Energy_AUV3,Reward_AUV2,Reward_AUV3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.385164807134504,5.385164807134504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.026666666666666672,-0.017333333333333336,-0.14956809087314482,0.2460799858834927,-0.11288150178426817,-0.16381515573620292,5.1268357116490995,5.2018767422432886,0.3169310122186556,0.2023131622324072,0.4115336352503966,17.999999999999996,17.999999999999996,-5.778195436817947,-5.7911358682874825
0.1,0.053333333333333344,-0.03466666666666667,-0.3150832693155064,0.12344275074012412,-0.03626517840023033,-0.47716979017190464,4.984388195642918,5.1514890367989885,0.40091068953075804,0.4514830092226743,0.662174412162266,9.312705896867431,14.124893590432753,-5.400993495510348,-5.559005516395816
0.15000000000000002,0.08000000000000002,-0.05200000000000001,-0.28719662309250926,0.13602366043407357,-0.021352673116508514,-0.35441692941395986,4.974547756754596,5.184451168129863,0.41253637038880603,0.31894884157812803,0.5578574888888105,17.999999999999996,9.093599524658517,-5.377422856625526,-5.43291275224577
0.2,0.10666666666666669,-0.06933333333333334,-0.37746392870242707,0.26208052831102,-0.16690388400541803,-0.37868453072049135,4.814276288373374,5.019704046380665,0.5867005889399258,0.41296369031658947,0.6744741605862026,17.999999999999996,17.999999999999996,-5.367619418789844,-5.589240032881393
0.25,0.13333333333333333,-0.08666666666666667,-0.5360510849018659,0.4159467561547873,-0.5272155277692202,-0.49859125325829906,4.582182654427752,4.620911133699771,0.8370757147214187,0.7784642977957099,0.9145806895682276,12.128445418942658,17.999999999999996,-5.131464042836022,-5.424747428369834
0.30000000000000004,0.16000000000000003,-0.10400000000000002,-0.7540322211700221,0.39701333921251986,-0.6171192125365347,-0.5727177719839596,4.352251566586608,4.491942498181141,1.0423383651223261,0.9075299555755781,0.9793485589693959,10.637519800285684,13.39400388313384,-4.87740766527722,-4.967863891618483
0.35000000000000003,0.18666666666666668,-0.12133333333333335,-0.8702945017134719,0.42263092675725855,-0.6503128869615242,-0.5830903533359593,4.203283871398131,4.438122429859382,1.1887236969621715,0.9559049736837607,1.0294985206697556,17.999999999999996,15.594629231956118,-4.745448464977314,-4.867747341025309
0.4,0.21333333333333337,-0.1386666666666667,-1.0302495859198044,0.536312864977612,-0.8651655481363111,-0.7399223616571045,3.9832585311637,4.163490921502233,1.4149543615243871,1.2347745737946294,1.286867939314003,15.969136767170168,17.999999999999996,-4.571813638867802,-4.843448289329998
0.45,0.24,-0.156,-1.275817914204119,0.6477417916983985,-1.041243961583729,-0.9835818143046913,3.683823897515989,3.8991936186096936,1.7157228263168494,1.5252795640349386,1.6481024381848592,10.608204825019504,11.838168159577934,-4.277973941960866,-4.488340520861643
0.5,0.26666666666666666,-0.17333333333333334,-1.5096471619387055,0.5941499689776595,-1.2293429412979309,-1.0599746239348486,3.4512678745242553,3.6766175057068247,1.9350249189663844,1.7390162521730237,1.677706358391421,10.179409651193014,9.004551243393324,-3.9719417521255007,-4.179133003596683
0.55,0.29333333333333333,-0.19066666666666668,-1.7289604062438115,0.846562065480379,-1.3480807553282024,-0.9572167173401258,3.129482878618231,3.577918123900388,2.272777026442383,1.8115847180422069,1.84355287579039,16.72332419555566,12.778830775453963,-3.829030740805189,-4.014018512054255
0.6000000000000001,0.32000000000000006,-0.20800000000000005,-1.8889570295853062,1.116853509498935,-1.4513114974006214,-1.2308587932758133,2.871540291609571,3.3733120793510665,2.5757965719726363,2.045430158134294,2.38815549502982,9.71511818003708,17.999999999999996,-3.4103658122318654,-3.9832239599556067
0.65,0.3466666666666667,-0.22533333333333333,-1.9915664188525337,1.0812221650797849,-1.569063901988168,-0.955280799286961,2.7506123652390055,3.3355286484105995,2.678511010365683,2.050084611602823,2.0798684334907502,10.95112204708847,9.370034239132977,-3.1723435259814154,-3.659016771865182
0.7000000000000001,0.37333333333333335,-0.2426666666666667,-2.226273624040468,0.9506656136807831,-1.725300475435468,-1.2260776553914394,2.5323111122091033,3.074309514909808,2.860419246219952,2.317619691850257,2.2336484403492043,11.457924728950049,17.999999999999996,-3.0588137686842964,-3.7418456855802766
0.75,0.4,-0.26,-2.1259250277961534,1.0440545220291588,-1.9118489761810467,-1.1441137076423689,2.570094760197282,2.910559764775591,2.842684548533603,2.475136912720282,2.1986151908005507,14.350982590547371,9.097061735850174,-2.8802361269643004,-3.3566062362390596
0.8,0.42666666666666675,-0.2773333333333334,-2.283466809016218,1.2117130473501252,-1.9246475382625996,-1.4713926019277555,2.3461803639705154,2.7685875286051624,3.092261725637644,2.6371302636044343,2.706992278203068,9.209423844876083,17.999999999999996,-2.84309424599792,-3.316971594935343
0.8500000000000001,0.45333333333333337,-0.2946666666666667,-2.3793130027343787,1.1405200460485867,-1.949125116886501,-1.3971912855645525,2.239740153244147,2.748214722782543,3.1754757384669543,2.6433628468881483,2.5739153870568474,8.654138396767134,10.603252345374404,-2.6104429148881674,-3.0738749673578396
0.9,0.48,-0.312,-2.4024553826913104,1.2905873974964561,-2.110741902241325,-1.50594504536752,2.1545143264600592,2.5405214369304807,3.2980047604302474,2.85262131650639,2.8117059694546658,11.680665516129729,17.537556929158082,-2.5512299142902264,-3.147583485995262
